Command	Result
{ \OptionalPrefix{Left} angle \AltCommand{} less than}	{ $<$ }
{ \OptionalPrefix{L/Left} paren }	{ ( }
{ \OptionalPrefix{L/Left} square }	{ {[} }
{ \OptionalPrefix{left} brace } 	{ \{ }
{ \RequiredPrefix{R/Right} angle \AltCommand{} rangle \AltCommand{} greater than }	{ $>$ }
{ \RequiredPrefix{R/Right} brace }	{ \} }
{ \RequiredPrefix{R/Right} paren }	{ ) }
{ \RequiredPrefix{R/Right} square}	{ {]} }
{ ` }	{ ` }
{ amper }	{ \& }
{ and sign \AltCommand{} ampersand}	{ \& }
{ apostrophe }	{ ' }
{ asterisk }	{ * }
{ at sign }	{ @ }
{ back tick }	{ ` }
{ backslash }	{ \textbackslash }
{ bang }	{ ! }
{ caret }	{ \^{} }
{ colon }	{ : }
{ comma }	{ , }
{ dash }	{ {-} }
{ dollar }	{ \$ }
{ dollar sign }	{ \$ }
{ dot }	{ . }
{ double quote }	{ " }
{ down score }	{ \_ }
{ dubquote }	{ "" }
{ equals }	{ = }
{ exclamation  \RequiredPrefix{mark/point}}	{ ! }
{ forward slash }	{ / }
{ full stop }	{ . }
{ grave }	{ ` }
{ hash }	{ \# }
{ hash sign \AltCommand{} number sign}	{ \# }
{ minus }	{ {-} }
{ percent }	{ \% }
{ percent sign }	{ \% }
{ period }	{ . }
{ pipe }	{ | }
{ plus }	{ + }
{ point }	{ . }
{ pound }	{ £ }
{ pound sign }	{ £ }
{ question mark }	{ ? }
{ quote }	{ ' }
{ semicolon }	{ ; }
{ slash }	{ / }
{ star }	{ * }
{ tilde }	{ $\sim $  }
{ under score }	{ \_ }
