Command	Result
{ block }	{ Inserts equivalent of \{.  }
{ attribute {[}$<$user.text$>${]} }	{ Let $<$name$>$ be $<$text$>$ or  (formatted with DASH\_SEPARATED). Insert `before + after`, leaving cursor between `before` and `after`. Not entirely reliable if `after` contains newlines..  }
{ prop $<$user.text$>$ }	{ Let $<$name$>$ be $<$text$>$ (formatted with DASH\_SEPARATED). Insert `before + after`, leaving cursor between `before` and `after`. Not entirely reliable if `after` contains newlines..  }
{ rule $<$user.text$>$ }	{ Let $<$name$>$ be $<$text$>$ (formatted with DASH\_SEPARATED). Insert "$<$name$>$ : ".  }
{ value $<$user.number{-}string$>$ {[}\{user.css{-}unit\}{]} }	{ Insert "$<$number\_string$>$ $<$css\_unit$>$ or ".  }
{ value $<$user.number{-}string$>$ point $<$digit{-}string$>$ {[}\{user.css{-}unit\}{]} }	{ Insert "$<$number\_string$>$ . $<$digit\_string$>$ $<$css\_unit$>$ or ".  }
{ (value | state) \{user.css{-}global{-}value\} }	{ Insert "$<$css\_global\_value$>$".  }
{ value $<$user.text$>$ }	{ Inserts a phrase formatted according to formatters. Formatters is a comma separated list of formatters (e.g. 'CAPITALIZE\_ALL\_WORDS,DOUBLE\_QUOTED\_STRING').  }
{ variable $<$user.text$>$ }	{ Let $<$name$>$ be $<$text$>$ (formatted with DASH\_SEPARATED). Insert "var({-}{-} $<$name$>$ )".  }
{ op var }	{ Insert `before + after`, leaving cursor between `before` and `after`. Not entirely reliable if `after` contains newlines..  }
{ at \{user.css{-}at{-}rule\} }	{ Insert "@ $<$css\_at\_rule$>$  ".  }
{ unit \{user.css{-}unit\} }	{ Insert "$<$css\_unit$>$".  }
{ {[}value{]} current color }	{ Insert "currentColor".  }
{ op important }	{ Insert " !important".  }
