Command	Result
{ touch }	{ Press and release a mouse button. Close the active grid. Releases any held mouse buttons.  }
{ righty }	{ Press and release a mouse button. Close the active grid.  }
{ midclick }	{ Press and release a mouse button. Close the active grid.  }
{ $<$user.modifiers$>$ touch }	{ Press $<$modifiers$>$ :down. Press and release a mouse button. Press $<$modifiers$>$ :up. Close the active grid.  }
{ $<$user.modifiers$>$ righty }	{ Press $<$modifiers$>$ :down. Press and release a mouse button. Press $<$modifiers$>$ :up. Close the active grid.  }
{ (dubclick | duke) }	{ Press and release a mouse button. Press and release a mouse button.  }
{ (tripclick | triplick) }	{ Press and release a mouse button. Press and release a mouse button. Press and release a mouse button. Close the active grid.  }
{ left drag | drag }	{ Press and hold/release a specific mouse button for dragging. Close the active grid.  }
{ right drag | righty drag }	{ Press and hold/release a specific mouse button for dragging. Close the active grid.  }
{ end drag | drag end }	{ Releases any held mouse buttons.  }
{ wheel down }	{ Scrolls down.  }
{ wheel down here }	{ move the mouse cursor to the center of the currently active window. Scrolls down.  }
{ wheel tiny {[}down{]} }	{ Scrolls down.  }
{ wheel tiny {[}down{]} here }	{ move the mouse cursor to the center of the currently active window. Scrolls down.  }
{ wheel downer }	{ Scrolls down continuously.  }
{ wheel downer here }	{ move the mouse cursor to the center of the currently active window. Scrolls down continuously.  }
{ wheel up }	{ Scrolls up.  }
{ wheel up here }	{ move the mouse cursor to the center of the currently active window. Scrolls up.  }
{ wheel tiny up }	{ Scrolls up.  }
{ wheel tiny up here }	{ move the mouse cursor to the center of the currently active window. Scrolls up.  }
{ wheel upper }	{ Scrolls up continuously.  }
{ wheel upper here }	{ move the mouse cursor to the center of the currently active window. Scrolls up continuously.  }
{ wheel gaze }	{ Starts gaze scroll.  }
{ wheel gaze here }	{ move the mouse cursor to the center of the currently active window. Starts gaze scroll.  }
{ wheel stop }	{ Stops scrolling.  }
{ wheel stop here }	{ move the mouse cursor to the center of the currently active window. Stops scrolling.  }
{ wheel left }	{ Scrolls left.  }
{ wheel left here }	{ move the mouse cursor to the center of the currently active window. Scrolls left.  }
{ wheel tiny left }	{ Scrolls left.  }
{ wheel tiny left here }	{ move the mouse cursor to the center of the currently active window. Scrolls left.  }
{ wheel right }	{ Scrolls right.  }
{ wheel right here }	{ move the mouse cursor to the center of the currently active window. Scrolls right.  }
{ wheel tiny right }	{ Scrolls right.  }
{ wheel tiny right here }	{ move the mouse cursor to the center of the currently active window. Scrolls right.  }
{ copy mouse position }	{ Copy the current mouse position coordinates.  }
{ curse no }	{ Show a desktop notification.  }
