Command	Result
{ title force }	{ Refreshes the title to match current directory. this is for e.g. windows command prompt that will need to do some magic..  }
{ manager show }	{ Shows the pickers.  }
{ manager close }	{ Hides the pickers.  }
{ manager refresh }	{ Forces an update of the lists (e.g., when file or folder created).  }
{ go $<$user.system{-}path$>$ }	{ opens the directory that's already visible in the view.  }
{ go back }	{ file\_manager\_go\_forward\_directory.  }
{ go forward }	{ file\_manager\_go\_forward\_directory.  }
{ (go parent | daddy) }	{ file\_manager\_open\_parent.  }
{ follow numb $<$number{-}small$>$ }	{ Let $<$directory$>$ be the requested directory for the imgui display by index. opens the directory that's already visible in the view.  }
{ follow \{user.file{-}manager{-}directories\} }	{ opens the directory that's already visible in the view.  }
{ (select | cell) folder \{user.file{-}manager{-}directories\} }	{ selects the directory.  }
{ open $<$number{-}small$>$ }	{ Let $<$file$>$ be the requested directory for the imgui display by index. opens the file.  }
{ folder numb $<$number{-}small$>$ }	{ Let $<$directory$>$ be the requested directory for the imgui display by index. selects the directory.  }
{ file numb $<$number{-}small$>$ }	{ Let $<$file$>$ be the requested directory for the imgui display by index. selects the file.  }
{ file \{user.file{-}manager{-}files\} }	{ selects the file.  }
{ (select | cell) file \{user.file{-}manager{-}files\} }	{ selects the file.  }
{ folder new $<$user.text$>$ }	{ Creates a new folder in a gui filemanager or inserts the command to do so for terminals.  }
{ properties show }	{ Shows the properties for the file.  }
{ terminal here }	{ Opens terminal at current location.  }
{ folder next }	{ next\_folder\_page.  }
{ folder last }	{ previous\_folder\_page.  }
{ file next }	{ next\_file\_page.  }
{ file last }	{ previous\_file\_page.  }
