Command	Result
{ phrase  $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$  }	{ Inserts some text, remembering it in the phrase history..  }
{ phrase  $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$  over }	{ Inserts some text, remembering it in the phrase history..  }
{ $<$a href="\#user{-}prose{-}formatter{-}list"$>$  \{user.prose{-}formatter\}  $<$/a$>$  $<$a href="\#user{-}prose{-}capture"$>$ \&lt;user.prose\&gt; $<$/a$>$  }	{ Inserts a phrase formatted according to formatters. Formatters is a comma separated list of formatters (e.g. 'CAPITALIZE\_ALL\_WORDS,DOUBLE\_QUOTED\_STRING').  }
{ $<$a href="\#user{-}prose{-}formatter{-}list"$>$  \{user.prose{-}formatter\}  $<$/a$>$  $<$a href="\#user{-}prose{-}capture"$>$ \&lt;user.prose\&gt; $<$/a$>$  over }	{ Inserts a phrase formatted according to formatters. Formatters is a comma separated list of formatters (e.g. 'CAPITALIZE\_ALL\_WORDS,DOUBLE\_QUOTED\_STRING').  }
{  $<$a href="\#user{-}format{-}text{-}capture"$>$ \&lt;user.format{-}text\&gt; $<$/a$>$ + }	{ Insert a list of strings, sequentially..  }
{  $<$a href="\#user{-}format{-}text{-}capture"$>$ \&lt;user.format{-}text\&gt; $<$/a$>$ + over }	{ Insert a list of strings, sequentially..  }
{  $<$a href="\#user{-}formatters{-}capture"$>$ \&lt;user.formatters\&gt; $<$/a$>$  that }	{ Reformats the current selection..  }
{ word  $<$a href="\#user{-}word{-}capture"$>$ \&lt;user.word\&gt; $<$/a$>$  }	{ Inserts some text, remembering it in the phrase history..  }
{ recent list }	{ Toggles list of recent phrases.  }
{ recent close }	{ Hides the recent phrases window.  }
{ recent repeat  \&lt;number{-}small\&gt;   }	{ Inserts some text, remembering it in the phrase history..  }
{ recent copy  \&lt;number{-}small\&gt;   }	{ Set clipboard text.  }
{ select that }	{ Selects the last phrase.  }
{ before that }	{ Moves left before the last phrase.  }
{ nope that | scratch that }	{ Clears the last phrase.  }
{ nope that was  $<$a href="\#user{-}formatters{-}capture"$>$ \&lt;user.formatters\&gt; $<$/a$>$  }	{ Clears and reformats last formatted phrase.  }
