Command	Result
{ $<$user.letter$>$ $<$user.letter$>$ $<$number$>$ }	{ Input one letter to highlight a row or column. Input one letter to highlight a row or column. Input one letter to highlight a row or column.  }
{ $<$user.letter$>$ $<$user.letter$>$ }	{ Input one letter to highlight a row or column. Input one letter to highlight a row or column.  }
{ $<$number$>$ $<$user.letter$>$ $<$user.letter$>$ }	{ Input one letter to highlight a row or column. Input one letter to highlight a row or column. Input one letter to highlight a row or column.  }
{ $<$number$>$ $<$user.letter$>$ }	{ Input one letter to highlight a row or column. Input one letter to highlight a row or column.  }
{ $<$number$>$ }	{ Input one letter to highlight a row or column.  }
{ horizontal $<$user.letter$>$ }	{ This command is for if you chose the wrong row and you want to choose a different row before choosing a column.  }
{ $<$user.letter$>$ }	{ Input one letter to highlight a row or column.  }
{ {[}dense{]} grid close }	{ Close the active grid.  }
{ checker grid }	{ Show or hide every other label box so more of the underlying screen content is visible.  }
{ frame grid }	{ Show or hide rulers all around the window.  }
{ phonetic grid }	{ toggle phonetic mouse grid on.  }
{ full grid }	{ toggle full mouse grid on.  }
{ darker letters }	{ Increase or decrease the opacity of the labels behind text for the full mouse grid (also returns new value).  }
{ lighter letters }	{ Increase or decrease the opacity of the labels behind text for the full mouse grid (also returns new value).  }
{ darker background }	{ Increase or decrease the opacity of the background of the full mouse grid (also returns new value).  }
{ lighter background }	{ Increase or decrease the opacity of the background of the full mouse grid (also returns new value).  }
{ bigger grid }	{ increase or decrease size of everything.  }
{ smaller grid }	{ increase or decrease size of everything.  }
