Command	Result
{ lisa }	{ Lists directories.  }
{ lisa all }	{ Lists all directories including hidden.  }
{ katie {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Lists change directory.  }
{ katie root }	{ Root of current drive.  }
{ go  $<$a href="\#user{-}system{-}path{-}capture"$>$ \&lt;user.system{-}path\&gt; $<$/a$>$  }	{ Insert "cd " $<$system\_path$>$ "\textbackslashn".  }
{ clear screen }	{ Clear screen.  }
{ run last }	{ Repeats the last command.  }
{ rerun {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Searches through the previously executed commands.  }
{ rerun search }	{ Searches through the previously executed commands.  }
{ kill all }	{ kills the running command.  }
{ copy paste }	{ Copy selection to clipboard. Paste clipboard at cursor.  }
