Command	Result
{ state message }	{ Insert "message ".  }
{ state package }	{ Insert "package ".  }
{ state reserved }	{ Insert "reserved ".  }
{ state enum }	{ Insert "enum ".  }
{ op equals }	{ Insert " = ".  }
{ state import }	{ Insert "import ".  }
{ state import public }	{ Insert "import public ".  }
{ state option }	{ Insert "option ".  }
{ state repeated }	{ Insert "repeated ".  }
{ type \{user.code{-}type\} }	{ Insert "$<$code\_type$>$".  }
{ repeated type \{user.code{-}type\} }	{ Insert "repeated  $<$code\_type$>$".  }
