Command	Result
{ zoom in }	{ Zoom in.  }
{ zoom out }	{ Zoom out.  }
{ zoom reset }	{ Zoom to original size.  }
{ scroll up }	{ Move cursor up one page.  }
{ scroll down }	{ Move cursor down one page.  }
{ copy that }	{ Copy selection to clipboard.  }
{ cut that }	{ Cut selection to clipboard.  }
{ (pace | paste) that }	{ Paste clipboard at cursor.  }
{ (pace | paste) enter }	{ Paste clipboard at cursor. Press enter.  }
{ undo that }	{ Undo.  }
{ redo that }	{ Redo.  }
{ paste match }	{ Paste clipboard without style information.  }
{ file save }	{ Save current document.  }
{ file save all }	{ Save all open documents.  }
{ (pad | padding) }	{ Insert `before + after`, leaving cursor between `before` and `after`. Not entirely reliable if `after` contains newlines..  }
{ slap }	{ Insert line below cursor.  }
