Command	Result
{ mux }	{ Insert "tmux ".  }
{ mux new session }	{ Insert "tmux new ".  }
{ mux sessions }	{ Press ctrl{-}b. Press s.  }
{ mux name session }	{ Press ctrl{-}b. Press \$.  }
{ mux kill session }	{ Insert "tmux kill{-}session {-}t ".  }
{ mux new window }	{ Press ctrl{-}b. Press c.  }
{ mux window $<$number$>$ }	{ Press ctrl{-}b. Press $<$number$>$.  }
{ mux previous window }	{ Press ctrl{-}b. Press p.  }
{ mux next window }	{ Press ctrl{-}b. Press n.  }
{ mux rename window }	{ Press ctrl{-}b. Press ,.  }
{ mux close window }	{ Press ctrl{-}b. Press \&.  }
{ mux split horizontal }	{ Press ctrl{-}b. Press \%.  }
{ mux split vertical }	{ Press ctrl{-}b. Press ".  }
{ mux next pane }	{ Press ctrl{-}b. Press o.  }
{ mux move $<$user.arrow{-}key$>$ }	{ Press ctrl{-}b. Press arrow\_key.  }
{ mux close pane }	{ Press ctrl{-}b. Press x.  }
{ mux pane numbers }	{ Press ctrl{-}b. Press q.  }
