Command	Result
{ window reload }	{  }
{ window close }	{  }
{ please {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Insert "$<$user.text$>$ or ".  }
{ bar explore }	{  }
{ bar extensions }	{  }
{ bar outline }	{  }
{ bar run }	{  }
{ bar search }	{  }
{ bar source }	{  }
{ bar test }	{  }
{ bar switch }	{  }
{ symbol hunt {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Insert "$<$text$>$ or ".  }
{ panel control }	{  }
{ panel output }	{  }
{ panel problems }	{  }
{ panel switch }	{  }
{ panel terminal }	{  }
{ focus editor }	{  }
{ show settings }	{  }
{ show settings json }	{  }
{ show settings folder }	{  }
{ show settings folder json }	{  }
{ show settings workspace }	{  }
{ show settings workspace json }	{  }
{ show shortcuts }	{  }
{ show snippets }	{  }
{ centered switch }	{  }
{ fullscreen switch }	{  }
{ theme switch }	{  }
{ wrap switch }	{  }
{ zen switch }	{  }
{ file hunt {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Insert "$<$text$>$ or ".  }
{ file copy path }	{  }
{ file copy local {[}path{]} }	{  }
{ file create sibling }	{ Execute command via vscode command server, if available, and wait.  }
{ file create }	{  }
{ file rename }	{  }
{ file move }	{  }
{ file clone }	{  }
{ file delete }	{  }
{ file open folder }	{  }
{ file reveal }	{  }
{ save ugly }	{  }
{ suggest show }	{  }
{ hint show }	{  }
{ definition show }	{  }
{ definition peek }	{  }
{ definition side }	{  }
{ references show }	{  }
{ references find }	{  }
{ format that }	{  }
{ format selection }	{  }
{ imports fix }	{  }
{ problem next }	{  }
{ problem last }	{  }
{ problem fix }	{  }
{ rename that }	{  }
{ refactor that }	{  }
{ whitespace trim }	{  }
{ language switch }	{  }
{ refactor rename }	{  }
{ refactor this }	{  }
{ (go declaration | follow) }	{  }
{ go back }	{  }
{ go forward }	{  }
{ go implementation }	{  }
{ go type }	{  }
{ go usage }	{  }
{ go recent {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Insert "$<$text$>$ or ".  }
{ go edit }	{  }
{ go marks }	{  }
{ toggle mark }	{  }
{ go next mark }	{  }
{ go last mark }	{  }
{ close other tabs }	{  }
{ close all tabs }	{  }
{ close tabs way right }	{  }
{ close tabs way left }	{  }
{ fold that }	{  }
{ unfold that }	{  }
{ fold those }	{  }
{ unfold those }	{  }
{ fold all }	{  }
{ unfold all }	{  }
{ fold comments }	{  }
{ fold one }	{  }
{ fold two }	{  }
{ fold three }	{  }
{ fold four }	{  }
{ fold five }	{  }
{ fold six }	{  }
{ fold seven }	{  }
{ git branch }	{  }
{ git branch this }	{  }
{ git checkout {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Insert "$<$text$>$ or ".  }
{ git commit {[} $<$a href="\#user{-}text{-}capture"$>$ \&lt;user.text\&gt; $<$/a$>$ {]} }	{ Inserts a phrase formatted according to formatters. Formatters is a comma separated list of formatters (e.g. 'CAPITALIZE\_ALL\_WORDS,DOUBLE\_QUOTED\_STRING').  }
{ git commit undo }	{  }
{ git commit amend }	{  }
{ git diff }	{  }
{ git fetch }	{  }
{ git fetch all }	{  }
{ git ignore }	{  }
{ git merge }	{  }
{ git output }	{  }
{ git pull }	{  }
{ git push }	{  }
{ git push focus }	{  }
{ git rebase abort }	{  }
{ git reveal }	{  }
{ git revert }	{  }
{ git stash }	{  }
{ git stash pop }	{  }
{ git status }	{  }
{ git stage }	{  }
{ git stage all }	{  }
{ git sync }	{  }
{ git unstage }	{  }
{ git unstage all }	{  }
{ pull request }	{  }
{ change next }	{ Press alt{-}f5.  }
{ change last }	{ Press shift{-}alt{-}f5.  }
{ break point }	{  }
{ step over }	{  }
{ debug step into }	{  }
{ debug step out {[}of{]} }	{  }
{ debug start }	{  }
{ debug pause }	{  }
{ debug stopper }	{  }
{ debug continue }	{  }
{ debug restart }	{  }
{ debug console }	{  }
{ terminal external }	{  }
{ terminal new }	{  }
{ terminal next }	{  }
{ terminal last }	{  }
{ terminal split }	{  }
{ terminal zoom }	{  }
{ terminal trash }	{  }
{ terminal toggle }	{ Execute command via vscode command server, if available, and wait.  }
{ terminal scroll up }	{  }
{ terminal scroll down }	{  }
{ terminal  \&lt;number{-}small\&gt;   }	{ Activate a terminal by number.  }
{ copy line down }	{  }
{ copy line up }	{  }
{ select less }	{  }
{ select (more|this) }	{  }
{ minimap }	{  }
{ maximize }	{  }
{ restore }	{  }
{ select breadcrumb }	{  }
{ replace here }	{ Search and replace for text in the active editor. Press cmd{-}alt{-}l.  }
{ hover show }	{  }
{ join lines }	{  }
{ full screen }	{  }
{ curse undo }	{  }
{ select word }	{  }
{ skip word }	{  }
{ cell next }	{  }
{ cell last }	{  }
{ cell run above }	{  }
{ cell run }	{  }
{ install local }	{  }
