Command	Result
{ window (new | open) }	{ Open a new window.  }
{ window next }	{ Switch to next window for this app.  }
{ window last }	{ Switch to previous window for this app.  }
{ window close }	{ Close the current window.  }
{ focus $<$user.running{-}applications$>$ }	{ Focus a new application by name.  }
{ focus }	{ Open a menu of running apps to switch to.  }
{ running list }	{ Shows/hides all running applications.  }
{ running close }	{ Hides list of running applications.  }
{ launch $<$user.launch{-}applications$>$ }	{ Launch a new application by path (all OSes), or AppUserModel\_ID path on Windows.  }
{ snap $<$user.window{-}snap{-}position$>$ }	{ Move the active window to a specific position on{-}screen..  }
{ snap next {[}screen{]} }	{ Move the active window to a specific screen..  }
{ snap last {[}screen{]} }	{ Move the active window to the previous screen..  }
{ snap screen $<$number$>$ }	{ Move the active window leftward by one..  }
{ snap $<$user.running{-}applications$>$ $<$user.window{-}snap{-}position$>$ }	{ Snap a specific application to another screen..  }
{ snap $<$user.running{-}applications$>$ {[}screen{]} $<$number$>$ }	{ Move a specific application to another screen..  }
