Command	Result
{ bottom }	{ scrollToBottom }
{ break point }	{ toggleLineBreakpoint }
{ carve }	{ cutToClipboard }
{ center }	{ scrollToCenter }
{ change }	{ clearAndSetSelection }
{ chuck }	{ remove }
{ clone up }	{ insertCopyBefore }
{ clone }	{ insertCopyAfter }
{ comment }	{ toggleLineComment }
{ copy }	{ copyToClipboard }
{ crown }	{ scrollToTop }
{ dedent }	{ outdentLine }
{ define }	{ revealDefinition }
{ drink }	{ editNewLineBefore }
{ drop }	{ insertEmptyLineBefore }
{ extract }	{ extractVariable }
{ float }	{ insertEmptyLineAfter }
{ fold }	{ foldRegion }
{ follow }	{ followLink }
{ give }	{ deselect }
{ highlight }	{ highlight }
{ hover }	{ showHover }
{ indent }	{ indentLine }
{ inspect }	{ showDebugHover }
{ post }	{ setSelectionAfter }
{ pour }	{ editNewLineAfter }
{ pre }	{ setSelectionBefore }
{ puff }	{ insertEmptyLinesAround }
{ quick fix }	{ showQuickFix }
{ reference }	{ showReferences }
{ rename }	{ rename }
{ reverse }	{ reverseTargets }
{ scout all }	{ findInWorkspace }
{ shuffle }	{ randomizeTargets }
{ snippet make }	{ generateSnippet }
{ sort }	{ sortTargets }
{ take }	{ setSelection }
{ type deaf }	{ revealTypeDefinition }
{ unfold }	{ unfoldRegion }
