Command	Result
{ first }	{ first }
{ second }	{ second }
{ third }	{ third }
{ fourth }	{ fourth }
{ fifth }	{ fifth }
{ sixth }	{ sixth }
{ seventh }	{ seventh }
{ eighth }	{ eighth }
{ ninth }	{ ninth }
{ tenth }	{ tenth }
{ eleventh }	{ eleventh }
{ twelfth }	{ twelfth }
{ thirteenth }	{ thirteenth }
{ fourteenth }	{ fourteenth }
{ fifteenth }	{ fifteenth }
{ sixteenth }	{ sixteenth }
{ seventeenth }	{ seventeenth }
{ eighteenth }	{ eighteenth }
{ nineteenth }	{ nineteenth }
{ twentieth }	{ twentieth }
{ twenty first }	{ twenty first }
{ twenty second }	{ twenty second }
{ twenty third }	{ twenty third }
{ twenty fourth }	{ twenty fourth }
{ twenty fifth }	{ twenty fifth }
{ twenty sixth }	{ twenty sixth }
{ twenty seventh }	{ twenty seventh }
{ twenty eighth }	{ twenty eighth }
{ twenty ninth }	{ twenty ninth }
{ thirtieth }	{ thirtieth }
{ thirty first }	{ thirty first }
{ thirty second }	{ thirty second }
{ thirty third }	{ thirty third }
{ thirty fourth }	{ thirty fourth }
{ thirty fifth }	{ thirty fifth }
{ thirty sixth }	{ thirty sixth }
{ thirty seventh }	{ thirty seventh }
{ thirty eighth }	{ thirty eighth }
{ thirty ninth }	{ thirty ninth }
{ fortieth }	{ fortieth }
{ forty first }	{ forty first }
{ forty second }	{ forty second }
{ forty third }	{ forty third }
{ forty fourth }	{ forty fourth }
{ forty fifth }	{ forty fifth }
{ forty sixth }	{ forty sixth }
{ forty seventh }	{ forty seventh }
{ forty eighth }	{ forty eighth }
{ forty ninth }	{ forty ninth }
{ fiftieth }	{ fiftieth }
{ fifty first }	{ fifty first }
{ fifty second }	{ fifty second }
{ fifty third }	{ fifty third }
{ fifty fourth }	{ fifty fourth }
{ fifty fifth }	{ fifty fifth }
{ fifty sixth }	{ fifty sixth }
{ fifty seventh }	{ fifty seventh }
{ fifty eighth }	{ fifty eighth }
{ fifty ninth }	{ fifty ninth }
{ sixtieth }	{ sixtieth }
{ sixty first }	{ sixty first }
{ sixty second }	{ sixty second }
{ sixty third }	{ sixty third }
{ sixty fourth }	{ sixty fourth }
{ sixty fifth }	{ sixty fifth }
{ sixty sixth }	{ sixty sixth }
{ sixty seventh }	{ sixty seventh }
{ sixty eighth }	{ sixty eighth }
{ sixty ninth }	{ sixty ninth }
{ seventieth }	{ seventieth }
{ seventy first }	{ seventy first }
{ seventy second }	{ seventy second }
{ seventy third }	{ seventy third }
{ seventy fourth }	{ seventy fourth }
{ seventy fifth }	{ seventy fifth }
{ seventy sixth }	{ seventy sixth }
{ seventy seventh }	{ seventy seventh }
{ seventy eighth }	{ seventy eighth }
{ seventy ninth }	{ seventy ninth }
{ eightieth }	{ eightieth }
{ eighty first }	{ eighty first }
{ eighty second }	{ eighty second }
{ eighty third }	{ eighty third }
{ eighty fourth }	{ eighty fourth }
{ eighty fifth }	{ eighty fifth }
{ eighty sixth }	{ eighty sixth }
{ eighty seventh }	{ eighty seventh }
{ eighty eighth }	{ eighty eighth }
{ eighty ninth }	{ eighty ninth }
{ ninetieth }	{ ninetieth }
{ ninety first }	{ ninety first }
{ ninety second }	{ ninety second }
{ ninety third }	{ ninety third }
{ ninety fourth }	{ ninety fourth }
{ ninety fifth }	{ ninety fifth }
{ ninety sixth }	{ ninety sixth }
{ ninety seventh }	{ ninety seventh }
{ ninety eighth }	{ ninety eighth }
{ ninety ninth }	{ ninety ninth }
