Command	Result
{ east }	{ 0.0 }
{ east south east }	{ 0.39269908169872414 }
{ south east }	{ 0.7853981633974483 }
{ south south east }	{ 1.1780972450961724 }
{ south }	{ 1.5707963267948966 }
{ south south west }	{ 1.9634954084936207 }
{ south west }	{ 2.356194490192345 }
{ west south west }	{ 2.748893571891069 }
{ west }	{ 3.141592653589793 }
{ west north west }	{ 3.5342917352885173 }
{ north west }	{ 3.9269908169872414 }
{ north north west }	{ 4.319689898685965 }
{ north }	{ 4.71238898038469 }
{ north north east }	{ 5.105088062083414 }
{ north east }	{ 5.497787143782138 }
{ east north east }	{ 5.890486225480862 }
